heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2015-255,Rain Tree,Samanea saman (Jacq.) Merr.,Connaught Drive,https://heritagetrees.nparks.gov.sg/ht-2015-255/,103.85342833040977,1.2901509798720874
HT 2015-257,Rain Tree,Samanea saman (Jacq.) Merr.,Connaught Drive,https://heritagetrees.nparks.gov.sg/ht-2015-257/,103.85325051703295,1.2897910675943385
HT 2015-258,Rain Tree,Samanea saman (Jacq.) Merr.,Connaught Drive,https://heritagetrees.nparks.gov.sg/ht-2015-258/,103.85319390708689,1.2896696046090552
HT 2015-256,Pukul Lima,Samanea saman (Jacq.) Merr.,Connaught Drive,https://heritagetrees.nparks.gov.sg/ht-2015-256/,103.85338749916318,1.2900714413105456
HT 2024-328,Common Pulai,Alstonia angustiloba Miq.,,https://heritagetrees.nparks.gov.sg/ht-2024-328/,103.78688410018778,1.3456004296414745
HT 2001-19,Saga,Adenanthera pavonina L.,"Singapore Botanic Gardens, near Lady on a Hammock sculpture",https://heritagetrees.nparks.gov.sg/ht-2001-19/,103.81705889994653,1.3098950401351286
HT 2003-113,Damar Hitam Gajah,Richetia gibbosa (Brandis) P.S.Ashton & J.Heck.,"Changi, Netheravon Road near Bus Stop B06",https://heritagetrees.nparks.gov.sg/ht-2003-113/,103.97972732517498,1.3909350840513908
HT 2001-03,Sena,Pterocarpus indicus Willd.,"Upper Serangoon Road, near Woodleigh Park",https://heritagetrees.nparks.gov.sg/ht-2001-03/,103.87007069967888,1.335220070176094
HT 2008-171,Kapok Tree,Ceiba pentandra (L.) Gaertn.,"Singapore Botanic Gardens, beside Holttum Hall",https://heritagetrees.nparks.gov.sg/ht-2008-171/,103.81744410029768,1.3084991502798224
HT 2015-235,Getah Terup,Artocarpus elasticus Reinw. ex Blume,"Fort Canning Park, near Raffles Terrace",https://heritagetrees.nparks.gov.sg/ht-2015-235/,103.84698641226147,1.2916594771952372
HT 2003-55,Tembusu Hutan,Cyrtophyllum fragrans (Roxb.) DC.,"Maida Vale, in front of House No. 13 (Seletar Aerospace Park)",https://heritagetrees.nparks.gov.sg/ht-2003-55/,103.87035400092667,1.4053109726839357
HT 2003-103,Angsana,Pterocarpus indicus Willd.,"Woodlands Road, in front of Woodlands Fire Station",https://heritagetrees.nparks.gov.sg/ht-2003-103/,103.76189009284826,1.430931755774275
HT 2001-08,Rain Tree,Samanea saman (Jacq.) Merr.,"Fort Canning Park, near Bond Terrace",https://heritagetrees.nparks.gov.sg/ht-2001-08/,103.84753221490122,1.2939860259547296
HT 2001-07,Madras Thorn,Pithecellobium dulce,"Fort Canning Park, along path beside Service Reservoir",https://heritagetrees.nparks.gov.sg/ht-2001-07/,103.84579715439655,1.293743666261668
HT 2001-11,Earpod Tree,Enterolobium cyclocarpum,"Fort Canning Park, along path behind the Fort Wall and The Legends",https://heritagetrees.nparks.gov.sg/ht-2001-11/,103.84504626310733,1.2951692653513922
HT 2001-17,Petai Kerayong,Parkia timoriana (DC.) Merr.,"Mount Faber, on slope near Marina Deck",https://heritagetrees.nparks.gov.sg/ht-2001-17/,103.82196780591838,1.2698287406029847
HT 2001-18,Bodhi Tree,Ficus religiosa L.,"Pearl's Hill City Park hilltop, near Service Reservoir gate",https://heritagetrees.nparks.gov.sg/ht-2001-18/,103.83928434498421,1.2846226285631308
HT 2008-168,Sea Fig,Ficus superba Miq.,"Junction of Bedok Rd and Upper Changi Rd junction, East Village Car-park (former Changi Complex)",https://heritagetrees.nparks.gov.sg/ht-2008-168/,103.94627320564597,1.3321201992419225
HT 2009-174,Burmese Banyan,Ficus kurzii King,"No. 162 Mount Pleasant Road, gateway",https://heritagetrees.nparks.gov.sg/ht-2009-174/,103.83098318992965,1.3324425126601718
HT 2012-186,Kungkur,Pseudalbizzia niopoides var. niopoides (Spruce ex Benth.) E.J.M.Koenen & Duno,Singapore Botanic Gardens Lawn E,https://heritagetrees.nparks.gov.sg/ht-2012-186/,103.81649429995709,1.3086444998704876
HT 2012-187,Common Pulai,Alstonia angustiloba Miq.,"Singapore Botanic Gardens, Burkill Drive Way",https://heritagetrees.nparks.gov.sg/ht-2012-187/,103.81358529982337,1.3115513001235672
HT 2010-183,Marsh Pulai,Alstonia pneumatophora Backer ex den Berger,"Singapore Botanic Gardens, Lawn H",https://heritagetrees.nparks.gov.sg/ht-2010-183/,103.81609369987719,1.30896733995506
HT 2001-22,Tulang Daing,Adinobotrys atropurpureus (Wall.) Dunn,"Singapore Botanic Gardens, behind Swan Lake",https://heritagetrees.nparks.gov.sg/ht-2001-22/,103.81567329980443,1.3074169402913582
HT 2012-191,Jamuju,Dacrycarpus imbricatus (Blume) de Laub.,"Singapore Botanic Gardens, Lawn H beside HT Alstonia pneumatophora",https://heritagetrees.nparks.gov.sg/ht-2012-191/,103.81603769993924,1.3089266702866167
HT 2012-192,Kapur,Dryobalanops aromatica C.F. Gaertn.,"Singapore Botanic Gardens, Lawn E",https://heritagetrees.nparks.gov.sg/ht-2012-192/,103.81680159976389,1.3079625602954876
HT 2012-194,Kapur,Dryobalanops aromatica C.F. Gaertn.,"Singapore Botanic Gardens, Lawn H",https://heritagetrees.nparks.gov.sg/ht-2012-194/,103.81606740001656,1.3092672904116023
HT 2001-26,Tembusu,Cyrtophyllum fragrans (Roxb.) DC.,"Singapore Botanic Gardens, at Lawn E",https://heritagetrees.nparks.gov.sg/ht-2001-26/,103.81679079989188,1.3085458401886083
HT 2005-138,Tahiti Chestnut,Inocarpus fagifer,"Singapore Botanic Gardens, behind Jacob Ballas Children's Garden Carpark",https://heritagetrees.nparks.gov.sg/ht-2005-138/,103.81729350010451,1.3203219004146434
HT 2011-185,Monkey Pot Tree,Lecythis pisonis Cambess,"Singapore Botanic Gardens, Lawn E.",https://heritagetrees.nparks.gov.sg/ht-2011-185/,103.81642760000959,1.3080818498234739
