OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,SHAPE.AREA,SHAPE.LEN,area_sq_km,heritage_tree_count,heritage_trees_per_sq_km,hdb_building_count,heritage_trees_per_100_hdb_buildings,tree_proxy_warning
813,8,TAI SENG,HGSZ08,N,HOUGANG,HG,NORTH-EAST REGION,NER,17FF4707CEF208F9,20191223152313,1796155.7532928,6396.59744893041,1.8083,1,0.553,44,2.273,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
814,1,TENGEH,TSSZ01,N,TUAS,TS,WEST REGION,WR,8572799AEFCB5ABD,20191223152313,2251238.31035123,9917.69470499232,2.2664,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
815,1,YUHUA WEST,JESZ01,N,JURONG EAST,JE,WEST REGION,WR,DCEEDA9BE4BB67A9,20191223152313,776142.491567475,3817.52107182037,0.7814,0,0.0,63,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
816,3,BRADDELL,TPSZ03,N,TOA PAYOH,TP,CENTRAL REGION,CR,849909336BD70CC9,20191223152313,446241.791875385,3513.7569354578,0.4493,0,0.0,33,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
817,10,BIDADARI,TPSZ10,N,TOA PAYOH,TP,CENTRAL REGION,CR,B522727043B8AF0C,20191223152313,572502.139779865,3323.74283763026,0.5764,0,0.0,60,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
818,8,WOODLEIGH,TPSZ08,N,TOA PAYOH,TP,CENTRAL REGION,CR,FA35D874BD766895,20191223152313,813382.981369785,3778.89057410681,0.8189,1,1.221,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
819,4,TAMAN JURONG,JWSZ04,N,JURONG WEST,JW,WEST REGION,WR,832B7D27EAD276CE,20191223152313,1484296.47314349,6583.69409641139,1.4943,0,0.0,132,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
820,4,LAKESIDE (LEISURE),JESZ04,N,JURONG EAST,JE,WEST REGION,WR,0249C1280AD8F2F8,20191223152313,1977071.49329026,7778.14060325773,1.9904,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
821,1,TOA PAYOH WEST,TPSZ01,N,TOA PAYOH,TP,CENTRAL REGION,CR,F09D85529E92E6F5,20191223152313,1037281.09445677,4516.83996636407,1.0443,0,0.0,49,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
822,1,KAKI BUKIT,BDSZ01,N,BEDOK,BD,EAST REGION,ER,F85DE4E75BF5323C,20191223152313,2820950.86350576,8145.32342213049,2.84,0,0.0,135,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
823,2,YUHUA EAST,JESZ02,N,JURONG EAST,JE,WEST REGION,WR,C6A07011C2291ED7,20191223152313,924762.50299729,4018.42165717926,0.931,0,0.0,81,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
824,9,BUKIT BATOK SOUTH,BKSZ09,N,BUKIT BATOK,BK,WEST REGION,WR,181CF694F60DEC5A,20191223152313,1806380.88033371,6998.67313710439,1.8186,0,0.0,39,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
825,9,JURONG WEST CENTRAL,JWSZ09,N,JURONG WEST,JW,WEST REGION,WR,1D90F8ED7A36C82C,20191223152313,1404536.64285829,4649.7971500904,1.414,0,0.0,234,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
826,2,BEDOK RESERVOIR,BDSZ02,N,BEDOK,BD,EAST REGION,ER,F3CEF1310CE15C52,20191223152313,2379331.5288706,6899.52590019516,2.3954,0,0.0,66,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
897,5,LOWER SELETAR,YSSZ05,N,YISHUN,YS,NORTH REGION,NR,BB331B610E0A2C72,20191223152313,8451158.08120242,15205.2924756309,8.5081,0,0.0,45,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
898,1,NORTHSHORE,PGSZ01,N,PUNGGOL,PG,NORTH-EAST REGION,NER,541C134E38313D4E,20191223152313,1373407.53384519,5314.48760024982,1.3827,0,0.0,98,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
899,3,MANDAI ESTATE,MDSZ03,N,MANDAI,MD,NORTH REGION,NR,F6266F7368DBB9AB,20191223152313,143137.94105364,1633.70841598885,0.1441,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
